gen	onset.shape1	onset.shape2	duration.shape1	duration.shape2	lk	prior	post	mean.onset	variance.onset	mean.duration	variance.duration	true.onset.shape1	true.onset.shape2	true.durationshape1	true.durationshape2	true.mean.onset	true.variance.onset	true.mean.duration	true.variance.duration
1	110.232788199266	296.945767096918	32.5789532953447	211.045009661953	-2002.17336615686	-30.4016093380016	-2032.57497549486	98.8140636813863	64.4397255103	35.5960845638232	33.5539321797996	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
11	115.296731346706	310.587048488927	44.6610147157537	289.31206588352	-2002.61495809113	-30.4016093380016	-2033.01656742913	98.8140636813863	61.6161009270593	35.5960845638232	24.5037477278429	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
21	99.8951668397789	269.098218697786	39.9409468946918	252.240306116698	-2002.61831721559	-30.4016093380016	-2033.0199265536	98.8140636813863	71.0902278003195	36.3874076007235	28.520830184799	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
31	98.0440035911831	264.111543681617	73.3183207850256	463.02947517839	-2002.68013253382	-30.4016093380016	-2033.08174187182	98.8140636813864	72.4287822670057	36.3874076007235	15.5611929430408	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
41	118.425304049748	319.014816999542	133.101708697478	822.77546431075	-2003.906551529	-30.4016093380016	-2034.308160867	98.8140636813864	59.9920326623576	37.0652254868112	8.87513157407737	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
51	118.425304049747	319.014816999541	188.481589492983	1129.38446481285	-2004.45758754898	-30.4016093380016	-2034.85919688699	98.8140636813864	59.9920326623576	38.0699906595872	6.58472624432883	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
61	114.994901270225	309.773976760834	200.343571741893	1200.46163744198	-2004.760126779	-30.4016093380016	-2035.161736117	98.8140636813865	61.7774464496163	38.0699906595872	6.19513457622123	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
71	114.994901270225	309.773976760834	167.297465931374	1032.81724439286	-2003.90010373833	-30.4016093380016	-2034.30171307633	98.8140636813865	61.7774464496163	37.106646747662	7.07706283359067	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
81	104.536602023125	281.601345521157	227.027588063212	1400.56554206338	-2003.53067261832	-30.4016093380016	-2033.93228195632	98.8140636813865	67.9419680486588	37.129396763958	5.22213374303192	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
91	95.2333012586752	256.540056342488	298.424463215417	1943.74739290753	-2004.69091184294	-30.4016093380016	-2035.09252118095	98.8140636813865	74.5603756511976	35.4283258638046	3.64455170763242	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
101	103.337665675271	274.451611198026	305.207538360064	1987.92803576182	-2004.53612083117	-30.4016093380016	-2034.93773016918	99.8393821117476	69.8897087817709	35.2918599183554	3.53618857463781	88.0676336684406	235.433702711231	77.7122061756863	518.474949834894	99.364925810553	70.583917467622	34.6251801045806	13.3940576385854
