gen	onset.shape1	onset.shape2	duration.shape1	duration.shape2	lk	prior	post	mean.onset	variance.onset	mean.duration	variance.duration
1	170.095236830737	363.040008041754	56.7492865277913	304.219618977864	-2053.80572352444	-30.4016093380016	-2084.20733286244	116.452179893054	54.1884021640064	39.0751426063927	22.6129223283493
10	170.095236830737	363.040008041754	56.7492865277913	304.219618977864	-2053.80572352444	-30.4016093380016	-2084.20733286244	116.452179893054	54.1884021640064	39.0751426063927	22.6129223283493
20	170.095236830737	363.040008041754	56.7492865277913	304.219618977864	-2053.80572352444	-30.4016093380016	-2084.20733286244	116.452179893054	54.1884021640064	39.0751426063927	22.6129223283493
30	168.694235748757	360.049804121027	57.3167324173835	307.261563342006	-2055.21004735483	-30.4016093380016	-2085.61165669283	116.452179893054	54.6375858541707	39.0751426063927	22.3896627355148
40	168.694235748757	360.049804121027	61.9482839330106	332.090225049857	-2055.19672800829	-30.4016093380016	-2085.59833734629	116.452179893054	54.6375858541707	39.0751426063927	20.7199413711639
50	168.694235748757	360.049804121027	61.9482839330106	332.090225049857	-2055.19672800829	-30.4016093380016	-2085.59833734629	116.452179893054	54.6375858541707	39.0751426063927	20.7199413711639
60	175.074374067929	373.667148791321	61.9482839330105	332.090225049857	-2055.59452546681	-30.4016093380016	-2085.99613480481	116.452179893054	52.6500805480015	39.0751426063927	20.7199413711639
70	175.074374067929	373.667148791321	68.2768169306791	366.016006588921	-2055.78738465223	-30.4016093380016	-2086.18899399023	116.452179893054	52.6500805480015	39.0751426063927	18.8038357244097
80	170.317888148923	363.515220269039	57.5595897449151	308.56346453175	-2055.84501486324	-30.4016093380016	-2086.24662420124	116.452179893054	54.1176957887608	39.0751426063927	22.2954528464689
90	173.578081574459	370.473561193083	57.5595897449151	308.56346453175	-2055.57594814803	-30.4016093380016	-2085.97755748603	116.452179893054	53.1031065462998	39.0751426063927	22.2954528464689
100	173.578081574459	370.473561193083	57.5595897449151	308.56346453175	-2055.57594814803	-30.4016093380016	-2085.97755748603	116.452179893054	53.1031065462998	39.0751426063927	22.2954528464689
110	172.581234753332	368.345957359482	57.5595897449151	308.56346453175	-2054.75597352526	-30.4016093380016	-2085.15758286326	116.452179893054	53.4092695114203	39.0751426063927	22.2954528464689
120	172.581234753332	368.345957359482	57.5595897449151	308.56346453175	-2054.75597352526	-30.4016093380016	-2085.15758286326	116.452179893054	53.4092695114203	39.0751426063927	22.2954528464689
130	175.149347110481	373.827166287863	57.5595897449151	308.56346453175	-2055.44164315624	-30.4016093380016	-2085.84325249424	116.452179893054	52.6275845495182	39.0751426063927	22.2954528464689
140	173.354891152275	369.99719833793	57.5595897449151	308.56346453175	-2055.62403421279	-30.4016093380016	-2086.02564355079	116.452179893054	53.1713499735567	39.0751426063927	22.2954528464689
150	175.257559176055	374.058126953712	57.5595897449151	308.56346453175	-2055.44751380143	-30.4016093380016	-2085.84912313944	116.452179893054	52.5951489093034	39.0751426063927	22.2954528464689
160	175.208767689858	373.953989637045	62.0193290041057	332.471081017944	-2055.60494970483	-30.4016093380016	-2086.00655904284	116.452179893054	52.6097687886973	39.0751426063927	20.6962660485767
